"aggregation_operator_unspill_memory_limit","4MB","4MB","varchar","Experimental: How much memory can should be allocated per aggragation operator in unspilling process"
"hive.hive_storage_format","ORC","ORC","varchar","Default storage format for new tables or partitions"
"hive.ignore_corrupted_statistics","false","false","boolean","Experimental: Ignore corrupted statistics rather than failing"
"hive.insert_existing_partitions_behavior","APPEND","APPEND","varchar","Behavior on insert existing partitions; this session property doesn't control behavior on insert existing unpartitioned table"
"hive.optimize_mismatched_bucket_count","false","false","boolean","Experimenal: Enable optimization to avoid shuffle when bucket count is compatible but not the same"
"hive.orc_bloom_filters_enabled","false","false","boolean","ORC: Enable bloom filters for predicate pushdown"
"hive.orc_lazy_read_small_ranges","true","true","boolean","Experimental: ORC: Read small file segments lazily"
"hive.orc_max_buffer_size","8MB","8MB","varchar","ORC: Maximum size of a single read"
"hive.orc_max_merge_distance","1MB","1MB","varchar","ORC: Maximum size of gap between two reads to merge into a single read"
"hive.orc_max_read_block_size","16MB","16MB","varchar","ORC: Soft max size of Presto blocks produced by ORC reader"
"hive.orc_optimized_writer_enabled","true","true","boolean","Experimental: ORC: Enable optimized writer"
"hive.orc_optimized_writer_max_dictionary_memory","16MB","16MB","varchar","Experimental: ORC: Max dictionary memory"
"hive.orc_optimized_writer_max_stripe_rows","10000000","10000000","integer","Experimental: ORC: Max stripe row count"
"hive.orc_optimized_writer_max_stripe_size","64MB","64MB","varchar","Experimental: ORC: Max stripe size"
"hive.orc_optimized_writer_min_stripe_size","32MB","32MB","varchar","Experimental: ORC: Min stripe size"
"hive.orc_optimized_writer_validate","false","false","boolean","Experimental: ORC: Force all validation for files"
"hive.orc_optimized_writer_validate_mode","BOTH","BOTH","varchar","Experimental: ORC: Level of detail in ORC validation"
"hive.orc_optimized_writer_validate_percentage","0.0","0.0","double","Experimental: ORC: sample percentage for validation for files"
"hive.orc_stream_buffer_size","8MB","8MB","varchar","ORC: Size of buffer for streaming reads"
"hive.orc_string_statistics_limit","64B","64B","varchar","ORC: Maximum size of string statistics; drop if exceeding"
"hive.orc_tiny_stripe_threshold","8MB","8MB","varchar","ORC: Threshold below which an ORC stripe or file will read in its entirety"
"hive.parquet_fail_with_corrupted_statistics","true","true","boolean","Parquet: Fail when scanning Parquet files with corrupted statistics"
"hive.parquet_max_read_block_size","16MB","16MB","varchar","Parquet: Maximum size of a block to read"
"hive.parquet_use_column_names","false","false","boolean","Experimental: Parquet: Access Parquet columns using names from the file"
"hive.parquet_writer_block_size","134217728B","134217728B","varchar","Parquet: Writer block size"
"hive.parquet_writer_page_size","1048576B","1048576B","varchar","Parquet: Writer page size"
"hive.partition_statistics_sample_size","100","100","integer","Maximum sample size of the partitions column statistics"
"hive.rcfile_optimized_writer_enabled","true","true","boolean","Experimental: RCFile: Enable optimized writer"
"hive.rcfile_optimized_writer_validate","false","false","boolean","Experimental: RCFile: Validate writer files"
"hive.respect_table_format","true","true","boolean","Write new partitions using table format rather than default storage format"
"hive.s3_select_pushdown_enabled","false","false","boolean","S3 Select pushdown enabled"
"hive.sorted_writing_enabled","true","true","boolean","Enable writing to bucketed sorted tables"
"hive.statistics_enabled","true","true","boolean","Experimental: Expose table statistics"
"hive.temporary_staging_directory_enabled","true","true","boolean","Should use temporary staging directory for write operations"
"hive.temporary_staging_directory_path","/tmp/presto-${USER}","/tmp/presto-${USER}","varchar","Temporary staging directory location"
